point_id,name,lng,lat,region
DP_001,沈阳,123.7472,38.0346,东北官话
DP_002,大连,122.0353,38.5644,胶辽官话
DP_003,鞍山,123.0432,38.3713,东北官话
DP_004,抚顺,123.5255,39.0534,东北官话
DP_005,本溪,123.6705,39.4417,东北官话
DP_006,丹东,124.3079,39.7930,胶辽官话
DP_007,锦州,120.7934,39.9682,北京官话
DP_008,营口,122.4098,40.2191,胶辽官话
DP_009,阜新,121.2569,40.2818,北京官话
DP_010,辽阳,123.5974,40.9788,东北官话
DP_011,盘锦,122.0841,40.8232,东北官话
DP_012,铁岭,123.2547,41.3916,东北官话
DP_013,朝阳,120.6655,41.6437,北京官话
DP_014,葫芦岛,121.0538,41.7069,北京官话
DP_015,新民,122.2254,41.2746,东北官话
DP_016,瓦房店,122.2846,41.1772,胶辽官话
DP_017,海城,122.1023,40.8331,东北官话
DP_018,东港,121.5672,40.9649,胶辽官话
DP_019,凤城,121.5191,40.9351,胶辽官话
DP_020,凌海,122.3370,41.1018,北京官话
DP_021,北镇,122.0904,40.8814,北京官话
DP_022,盖州,121.5550,41.1206,胶辽官话
DP_023,大石桥,122.3414,40.8881,胶辽官话
DP_024,灯塔,121.8322,40.7758,东北官话
DP_025,开原,121.7263,41.2290,东北官话
DP_026,调兵山,121.8437,40.8742,东北官话
DP_027,凌源,121.6017,40.8584,北京官话
DP_028,北票,122.3374,41.2333,北京官话
DP_029,兴城,121.5608,40.7841,北京官话
DP_030,绥中,122.3961,41.1856,北京官话
DP_031,建昌,122.0358,40.9584,北京官话
DP_032,喀左,122.1065,41.1481,北京官话
DP_033,义县,121.5740,40.7563,北京官话
DP_034,黑山,122.2934,41.0767,北京官话
DP_035,彰武,121.6938,40.8095,北京官话
DP_036,法库,122.4745,40.9223,东北官话
DP_037,康平,121.7270,41.2651,东北官话
DP_038,西丰,121.6920,40.7089,东北官话
DP_039,昌图,121.5539,40.8377,东北官话
DP_040,台安,122.3772,41.1520,东北官话
DP_041,岫岩,121.6371,40.7235,胶辽官话
DP_042,长海,121.9055,41.2355,胶辽官话
