region,f1,f2
东北官话,610.4,1201.2
东北官话,653.6,1291.7
东北官话,649.3,1239.3
东北官话,629.6,1223.3
东北官话,648.6,1205.4
东北官话,689.1,1291.4
东北官话,642.9,1221.7
东北官话,615.7,1270.9
东北官话,661.7,1241.8
东北官话,645.0,1260.0
东北官话,631.7,1281.6
东北官话,682.5,1278.1
东北官话,632.4,1221.5
东北官话,625.5,1218.6
东北官话,618.4,1211.3
东北官话,683.7,1211.0
东北官话,680.5,1253.2
东北官话,629.3,1295.1
东北官话,638.4,1292.1
东北官话,629.9,1259.7
东北官话,677.1,1291.3
东北官话,676.8,1250.0
东北官话,619.4,1222.3
东北官话,620.2,1295.7
东北官话,668.4,1245.0
东北官话,625.9,1264.2
东北官话,650.1,1208.8
东北官话,623.4,1290.6
东北官话,670.4,1250.8
东北官话,639.5,1289.3
东北官话,619.2,1220.2
东北官话,669.9,1298.2
东北官话,632.2,1207.3
东北官话,620.9,1260.7
东北官话,665.0,1203.3
东北官话,653.2,1297.9
东北官话,650.6,1272.5
东北官话,621.5,1272.8
东北官话,673.7,1261.1
东北官话,621.3,1202.1
东北官话,633.8,1223.6
东北官话,616.5,1216.7
东北官话,669.2,1293.9
东北官话,678.6,1224.8
东北官话,615.8,1278.8
东北官话,612.1,1281.1
东北官话,651.6,1203.1
东北官话,656.9,1213.8
东北官话,680.3,1282.9
东北官话,681.5,1214.8
胶辽官话,741.1,1357.8
胶辽官话,731.2,1343.5
胶辽官话,705.2,1354.1
胶辽官话,657.2,1352.5
胶辽官话,738.3,1316.7
胶辽官话,737.2,1377.6
胶辽官话,659.4,1396.8
胶辽官话,734.9,1296.6
胶辽官话,720.4,1340.3
胶辽官话,663.6,1371.6
胶辽官话,728.5,1356.3
胶辽官话,737.4,1398.5
胶辽官话,705.7,1308.1
胶辽官话,666.3,1378.1
胶辽官话,691.0,1394.3
胶辽官话,696.2,1403.7
胶辽官话,669.7,1380.8
胶辽官话,716.2,1371.8
胶辽官话,662.8,1328.3
胶辽官话,733.1,1401.1
胶辽官话,701.3,1317.6
胶辽官话,657.2,1366.8
胶辽官话,719.4,1358.0
胶辽官话,718.3,1314.6
胶辽官话,720.3,1400.3
胶辽官话,725.6,1382.5
胶辽官话,709.2,1319.4
胶辽官话,661.1,1343.6
胶辽官话,656.7,1338.1
胶辽官话,730.3,1368.7
胶辽官话,708.1,1328.3
胶辽官话,660.0,1372.1
胶辽官话,730.7,1329.5
胶辽官话,684.9,1308.9
胶辽官话,675.4,1392.0
胶辽官话,685.9,1326.9
胶辽官话,664.2,1324.0
胶辽官话,730.4,1392.8
胶辽官话,660.5,1310.4
胶辽官话,735.7,1384.0
胶辽官话,703.2,1342.4
胶辽官话,709.6,1377.1
胶辽官话,661.7,1305.3
胶辽官话,726.4,1364.1
胶辽官话,672.4,1315.1
胶辽官话,742.7,1335.8
胶辽官话,675.4,1398.6
胶辽官话,672.3,1296.6
胶辽官话,659.8,1320.2
胶辽官话,734.0,1377.9
北京官话,574.6,1108.5
北京官话,593.4,1185.3
北京官话,618.2,1141.8
北京官话,599.7,1130.0
北京官话,626.5,1149.5
北京官话,572.9,1124.3
北京官话,599.1,1113.4
北京官话,566.8,1141.8
北京官话,628.7,1140.3
北京官话,613.1,1192.4
北京官话,629.7,1125.6
北京官话,605.1,1105.4
北京官话,573.4,1162.8
北京官话,611.0,1178.3
北京官话,592.7,1194.4
北京官话,576.9,1128.9
北京官话,565.8,1145.3
北京官话,585.1,1133.8
北京官话,571.5,1112.3
北京官话,629.7,1131.6
北京官话,634.6,1141.8
北京官话,584.7,1182.1
北京官话,595.7,1160.2
北京官话,585.1,1131.5
北京官话,622.2,1126.9
北京官话,608.5,1113.7
北京官话,605.6,1165.9
北京官话,596.2,1138.8
北京官话,572.8,1116.6
北京官话,601.4,1117.8
北京官话,634.5,1147.9
北京官话,624.2,1105.4
北京官话,570.2,1166.7
北京官话,600.1,1130.1
北京官话,581.3,1116.6
北京官话,623.1,1111.4
北京官话,583.6,1155.8
北京官话,607.9,1137.1
北京官话,619.9,1111.0
北京官话,594.3,1156.7
北京官话,602.5,1165.9
北京官话,617.8,1176.2
北京官话,569.1,1111.8
北京官话,578.5,1189.7
北京官话,570.0,1108.3
北京官话,574.2,1122.5
北京官话,600.3,1191.1
北京官话,587.5,1192.3
北京官话,605.5,1126.4
北京官话,624.3,1161.7
