epoch,train_loss,val_loss,val_per
1,2.4889,2.9550,55.48
2,2.4188,2.8140,53.03
3,2.2319,2.7097,51.01
4,2.1395,2.5095,48.32
5,2.0124,2.4223,44.08
6,1.8273,2.2654,41.89
7,1.7325,2.1645,41.58
8,1.6612,2.0572,36.62
9,1.5229,1.9861,36.35
10,1.4907,1.9167,34.88
11,1.3674,1.8360,32.85
12,1.3085,1.6933,31.88
13,1.2792,1.6901,30.29
14,1.1633,1.6240,29.69
15,1.1653,1.5594,28.01
16,1.0246,1.4473,26.07
17,1.0411,1.3599,26.75
18,0.9873,1.3797,26.54
19,0.9156,1.2636,23.54
20,0.8387,1.2558,22.07
21,0.8041,1.1312,23.35
22,0.7324,1.0757,23.45
23,0.7171,1.0575,21.88
24,0.7239,1.0718,21.77
25,0.6707,0.9687,21.33
26,0.6386,0.9563,21.50
27,0.6377,0.8856,20.04
28,0.5751,0.9145,19.69
29,0.5689,0.8452,17.97
30,0.5108,0.8214,19.60
31,0.5182,0.8493,19.15
32,0.4807,0.7401,18.60
33,0.4762,0.7040,18.48
34,0.4596,0.6882,19.00
35,0.4066,0.7411,18.01
36,0.4071,0.6716,15.95
37,0.4588,0.6768,16.02
38,0.4362,0.6713,17.14
39,0.3548,0.5886,17.70
40,0.3712,0.5690,16.62
