region,x,y
东北官话,3.8128,7.0244
东北官话,5.1088,8.8345
东北官话,4.9780,7.7861
东北官话,4.3871,7.4666
东北官话,4.9579,7.1080
东北官话,6.1737,8.8280
东北官话,4.7866,7.4333
东北官话,3.9711,8.4175
东北官话,5.3519,7.8369
东北官话,4.8511,8.2009
东北官话,4.4524,8.6315
东北官话,5.9743,8.5629
东北官话,4.4731,7.4297
东北官话,4.2641,7.3718
东北官话,4.0523,7.2267
东北官话,6.0106,7.2195
东北官话,5.9158,8.0648
东北官话,4.3791,8.9011
东北官话,4.6532,8.8416
东北官话,4.3982,8.1935
胶辽官话,-3.1881,6.8264
胶辽官话,-3.1973,5.9990
胶辽官话,-4.9173,5.4455
胶辽官话,-4.8938,6.9134
胶辽官话,-3.4469,5.8994
胶辽官话,-4.7216,6.2831
胶辽官话,-3.9982,5.1752
胶辽官话,-4.7981,6.8129
胶辽官话,-3.3876,6.0150
胶辽官话,-4.3162,6.7864
胶辽官话,-4.9234,5.4050
胶辽官话,-3.4028,6.9636
胶辽官话,-4.5333,5.1456
胶辽官话,-4.8730,6.2149
胶辽官话,-3.5505,5.0670
胶辽官话,-3.9042,6.9578
胶辽官话,-3.9823,6.4506
胶辽官话,-4.8560,6.4554
胶辽官话,-3.2877,6.2215
胶辽官话,-4.8600,5.0414
北京官话,0.5144,-3.5286
北京官话,-0.0050,-3.6665
北京官话,1.5770,-2.1227
北京官话,1.8574,-3.5032
北京官话,-0.0248,-2.4233
北京官话,-0.1380,-2.3785
北京官话,1.0482,-3.9379
北京官话,1.2082,-3.7245
北京官话,1.9089,-2.3419
北京官话,1.9447,-3.7041
北京官话,2.0948,-2.8575
北京官话,1.8315,-3.1191
北京官话,1.1374,-2.9250
北京官话,-0.1415,-2.9547
北京官话,2.0221,-3.6054
北京官话,1.9927,-2.4987
北京官话,-0.0828,-2.1498
北京官话,1.9305,-3.9717
北京官话,1.5432,-3.1756
北京官话,0.0298,-2.6074
